gene_name,fuunctional,allele_name
TRAV1,F,TRAV1*01
TRAV1,(F),TRAV1*02
TRAV2,F,TRAV2*01
TRAV3-1,F,TRAV3-1*01
TRAV3-1,(F),TRAV3-1*02
TRAV3D-3,F,TRAV3D-3*01
TRAV3-3,F,TRAV3-3*01
TRAV3-3,(F),TRAV3-3*02
TRAV3-4,F,TRAV3-4*01
TRAV4D-3,F,TRAV4D-3*01
TRAV4D-3,(F),TRAV4D-3*02
TRAV4D-3,(F),TRAV4D-3*03
TRAV4D-3,(F),TRAV4D-3*04
TRAV4D-3,(F),TRAV4D-3*05
TRAV4D-3,(F),TRAV4D-3*06
TRAV4D-4,F,TRAV4D-4*01
TRAV4D-4,(F),TRAV4D-4*02
TRAV4D-4,(F),TRAV4D-4*03
TRAV4D-4,(F),TRAV4D-4*04
TRAV4D-4,(F),TRAV4D-4*05
TRAV4-2,F,TRAV4-2*01
TRAV4-2,(F),TRAV4-2*02
TRAV4-3,F,TRAV4-3*01
TRAV4-3,(F),TRAV4-3*02
TRAV4-4/DV10,F,TRAV4-4/DV10*01
TRAV5-1,F,TRAV5-1*01
TRAV5D-4,ORF,TRAV5D-4*01
TRAV5D-4,(F),TRAV5D-4*02
TRAV5D-4,(F),TRAV5D-4*03
TRAV5D-4,(F),TRAV5D-4*04
TRAV5-4,ORF,TRAV5-4*01
TRAV6-1,F,TRAV6-1*01
TRAV6-1,(F),TRAV6-1*02
TRAV6-2,F,TRAV6-2*01
TRAV6-2,(F),TRAV6-2*02
TRAV6-2,(F),TRAV6-2*03
TRAV6D-3,F,TRAV6D-3*01
TRAV6D-3,(F),TRAV6D-3*02
TRAV6D-4,F,TRAV6D-4*01
TRAV6D-5,F,TRAV6D-5*01
TRAV6D-6,F,TRAV6D-6*01
TRAV6D-6,F,TRAV6D-6*02
TRAV6D-6,(F),TRAV6D-6*03
TRAV6D-6,(F),TRAV6D-6*04
TRAV6D-7,F,TRAV6D-7*01
TRAV6D-7,(F),TRAV6D-7*02
TRAV6D-7,(F),TRAV6D-7*03
TRAV6-3,F,TRAV6-3*01
TRAV6-4,F,TRAV6-4*01
TRAV6-4,(F),TRAV6-4*02
TRAV6-5,F,TRAV6-5*01
TRAV6-5,(F),TRAV6-5*02
TRAV6-5,(F),TRAV6-5*03
TRAV6-6,F,TRAV6-6*01
TRAV6-6,(F),TRAV6-6*02
TRAV6-6,(F),TRAV6-6*03
TRAV6-7/DV9,F,TRAV6-7/DV9*01
TRAV6-7/DV9,(F),TRAV6-7/DV9*02
TRAV6-7/DV9,(F),TRAV6-7/DV9*03
TRAV6-7/DV9,(F),TRAV6-7/DV9*04
TRAV6-7/DV9,(P),TRAV6-7/DV9*05
TRAV6-7/DV9,(P),TRAV6-7/DV9*06
TRAV6-7/DV9,(F),TRAV6-7/DV9*07
TRAV6-7/DV9,(F),TRAV6-7/DV9*08
TRAV6-7/DV9,(F),TRAV6-7/DV9*09
TRAV7-1,F,TRAV7-1*01
TRAV7D-2,F,TRAV7D-2*01
TRAV7D-2,(F),TRAV7D-2*02
TRAV7D-2,(F),TRAV7D-2*03
TRAV7D-3,F,TRAV7D-3*01
TRAV7D-3,(F),TRAV7D-3*02
TRAV7D-4,F,TRAV7D-4*01
TRAV7D-4,F,TRAV7D-4*02
TRAV7D-4,(F),TRAV7D-4*03
TRAV7D-4,(F),TRAV7D-4*04
TRAV7D-5,F,TRAV7D-5*01
TRAV7D-6,F,TRAV7D-6*01
TRAV7-2,F,TRAV7-2*01
TRAV7-3,F,TRAV7-3*01
TRAV7-3,(F),TRAV7-3*02
TRAV7-3,(F),TRAV7-3*03
TRAV7-4,F,TRAV7-4*01
TRAV7-5,F,TRAV7-5*01
TRAV7-5,F,TRAV7-5*02
TRAV7-5,(F),TRAV7-5*03
TRAV7-5,(F),TRAV7-5*04
TRAV7-6,F,TRAV7-6*01
TRAV7-6,(F),TRAV7-6*02
TRAV8D-1,F,TRAV8D-1*01
TRAV8D-1,(F),TRAV8D-1*02
TRAV8D-2,F,TRAV8D-2*01
TRAV8D-2,(F),TRAV8D-2*02
TRAV8-1,F,TRAV8-1*01
TRAV8-1,(F),TRAV8-1*02
TRAV8-2,F,TRAV8-2*01
TRAV9D-1,F,TRAV9D-1*01
TRAV9D-1,(F),TRAV9D-1*02
TRAV9D-2,F,TRAV9D-2*01
TRAV9D-2,F,TRAV9D-2*02
TRAV9D-2,(F),TRAV9D-2*03
TRAV9D-2,(P),TRAV9D-2*04
TRAV9D-3,F ,TRAV9D-3*01
TRAV9D-3,(F) ,TRAV9D-3*02
TRAV9D-4,F ,TRAV9D-4*01
TRAV9D-4,(F) ,TRAV9D-4*02
TRAV9D-4,(F) ,TRAV9D-4*03
TRAV9D-4,(F) ,TRAV9D-4*04
TRAV9-1,F ,TRAV9-1*01
TRAV9-2,F ,TRAV9-2*01
TRAV9-3,F ,TRAV9-3*01
TRAV9-3,(F) ,TRAV9-3*02
TRAV9-3,(F) ,TRAV9-3*03
TRAV9-4,F ,TRAV9-4*01
TRAV10D,F,TRAV10D*01
TRAV10D,(P),TRAV10D*02
TRAV10,F,TRAV10*01
TRAV10,(F),TRAV10*02
TRAV10,(F),TRAV10*03
TRAV10,(P),TRAV10*04
TRAV10,(P),TRAV10*05
TRAV11D,F,TRAV11D*01
TRAV11,F,TRAV11*01
TRAV11,F,TRAV11*02
TRAV11,P,TRAV11*03
TRAV12D-1,F,TRAV12D-1*01
TRAV12D-1,F,TRAV12D-1*02
TRAV12D-1,(F),TRAV12D-1*03
TRAV12D-1,(F),TRAV12D-1*04
TRAV12D-1,(F),TRAV12D-1*05
TRAV12D-2,F,TRAV12D-2*01
TRAV12D-2,F,TRAV12D-2*02
TRAV12D-2,(F),TRAV12D-2*03
TRAV12D-2,(F),TRAV12D-2*04
TRAV12D-2,(F),TRAV12D-2*05
TRAV12D-3,F,TRAV12D-3*01
TRAV12D-3,F,TRAV12D-3*02
TRAV12D-3,(F),TRAV12D-3*03
TRAV12D-3,(ORF),TRAV12D-3*04
TRAV12-1,F,TRAV12-1*01
TRAV12-1,F,TRAV12-1*02
TRAV12-1,ORF,TRAV12-1*03
TRAV12-1,(F),TRAV12-1*04
TRAV12-1,(F),TRAV12-1*05
TRAV12-2,F,TRAV12-2*01
TRAV12-3,F,TRAV12-3*01
TRAV12-3,(F),TRAV12-3*02
TRAV12-3,(F),TRAV12-3*03
TRAV12-3,(F),TRAV12-3*04
TRAV13D-1,F,TRAV13D-1*01
TRAV13D-1,(F),TRAV13D-1*02
TRAV13D-1,(F),TRAV13D-1*03
TRAV13D-2,F,TRAV13D-2*01
TRAV13D-2,(F),TRAV13D-2*02
TRAV13D-3,F,TRAV13D-3*01
TRAV13D-4,F,TRAV13D-4*01
TRAV13D-4,(F),TRAV13D-4*02
TRAV13-1,F,TRAV13-1*01
TRAV13-2,F,TRAV13-2*01
TRAV13-2,(F),TRAV13-2*02
TRAV13-3,F,TRAV13-3*01
TRAV13-3,ORF,TRAV13-3*02
TRAV13-4/DV7,F,TRAV13-4/DV7*01
TRAV13-4/DV7,(F),TRAV13-4/DV7*02
TRAV13-4/DV7,(F),TRAV13-4/DV7*03
TRAV13-5,F,TRAV13-5*01
TRAV14D-1,F,TRAV14D-1*01
TRAV14D-1,ORF,TRAV14D-1*02
TRAV14D-2,F,TRAV14D-2*01
TRAV14D-2,(F),TRAV14D-2*02
TRAV14D-3/DV8,F,TRAV14D-3/DV8*01
TRAV14D-3/DV8,F,TRAV14D-3/DV8*02
TRAV14D-3/DV8,F,TRAV14D-3/DV8*03
TRAV14D-3/DV8,(F),TRAV14D-3/DV8*04
TRAV14D-3/DV8,(F),TRAV14D-3/DV8*05
TRAV14D-3/DV8,(F),TRAV14D-3/DV8*06
TRAV14D-3/DV8,(F),TRAV14D-3/DV8*07
TRAV14-1,F,TRAV14-1*01
TRAV14-1,F,TRAV14-1*02
TRAV14-1,(F),TRAV14-1*03
TRAV14-2,F,TRAV14-2*01
TRAV14-2,F,TRAV14-2*02
TRAV14-2,F,TRAV14-2*03
TRAV14-3,F,TRAV14-3*01
TRAV14-3,F,TRAV14-3*02
TRAV14-3,(F),TRAV14-3*03
TRAV15D-1/DV6D-1,F,TRAV15D-1/DV6D-1*01
TRAV15D-1/DV6D-1,F,TRAV15D-1/DV6D-1*02
TRAV15D-1/DV6D-1,(F),TRAV15D-1/DV6D-1*03
TRAV15D-1/DV6D-1,(F),TRAV15D-1/DV6D-1*04
TRAV15D-1/DV6D-1,(F),TRAV15D-1/DV6D-1*05
TRAV15D-1/DV6D-1,(F),TRAV15D-1/DV6D-1*06
TRAV15D-1/DV6D-1,(F),TRAV15D-1/DV6D-1*07
TRAV15D-2/DV6D-2,F,TRAV15D-2/DV6D-2*01
TRAV15D-2/DV6D-2,(F),TRAV15D-2/DV6D-2*02
TRAV15D-2/DV6D-2,(F),TRAV15D-2/DV6D-2*03
TRAV15D-2/DV6D-2,(F),TRAV15D-2/DV6D-2*04
TRAV15D-2/DV6D-2,(F),TRAV15D-2/DV6D-2*05
TRAV15-1/DV6-1,F,TRAV15-1/DV6-1*01
TRAV15-1/DV6-1,(F),TRAV15-1/DV6-1*02
TRAV15-2/DV6-2,F,TRAV15-2/DV6-2*01
TRAV15-2/DV6-2,(F),TRAV15-2/DV6-2*02
TRAV16D/DV11,F,TRAV16D/DV11*01
TRAV16D/DV11,(F),TRAV16D/DV11*02
TRAV16D/DV11,(F),TRAV16D/DV11*03
TRAV16,F,TRAV16*01
TRAV16,(F),TRAV16*02
TRAV16,(F),TRAV16*03
TRAV16,(F),TRAV16*04
TRAV16,(F),TRAV16*05
TRAV17,F,TRAV17*01
TRAV17,(F),TRAV17*02
TRAV18,ORF,TRAV18*01
TRAV19,F,TRAV19*01
TRAV19,P,TRAV19*02
TRAV19,(F),TRAV19*03
TRAV21/DV12,F,TRAV21/DV12*01
TRAV21/DV12,(F),TRAV21/DV12*02
